"","LTER_site","local_site","date","airtemp_max","flag_airtemp_max","airtemp_min","flag_airtemp_min","airtemp_avg"
"1","NWT","c1",1952-10-01,16,NA,-1,NA,7.5
"2","NWT","c1",1952-10-02,16,NA,-2,NA,7
"3","NWT","c1",1952-10-03,16,NA,-1,NA,7.5
"4","NWT","c1",1952-10-04,14,NA,-4,NA,5
"5","NWT","c1",1952-10-05,5,NA,-6,NA,-0.5
"6","NWT","c1",1952-10-06,4,NA,-5,NA,-0.5
"7","NWT","c1",1952-10-07,14,NA,-1,NA,6.5
"8","NWT","c1",1952-10-08,16,NA,-1,NA,7.5
"9","NWT","c1",1952-10-09,17,NA,-1,NA,8
"10","NWT","c1",1952-10-10,15,NA,0,NA,7.5
"11","NWT","c1",1952-10-11,14,NA,-1,NA,6.5
"12","NWT","c1",1952-10-12,13,NA,4,NA,8.5
"13","NWT","c1",1952-10-13,11,NA,-2,NA,4.5
"14","NWT","c1",1952-10-14,-2,NA,-9,NA,-5.5
"15","NWT","c1",1952-10-15,5,NA,-10,NA,-2.5
"16","NWT","c1",1952-10-16,11,NA,-2,NA,4.5
"17","NWT","c1",1952-10-17,9,NA,-2,NA,3.5
"18","NWT","c1",1952-10-18,15,NA,-1,NA,7
"19","NWT","c1",1952-10-19,15,NA,-1,NA,7
"20","NWT","c1",1952-10-20,9,NA,0,NA,4.5
"21","NWT","c1",1952-10-21,10,NA,-1,NA,4.5
"22","NWT","c1",1952-10-22,10,NA,-2,NA,4
"23","NWT","c1",1952-10-23,13,NA,-2,NA,5.5
"24","NWT","c1",1952-10-24,14,NA,2,NA,8
"25","NWT","c1",1952-10-25,12,NA,-1,NA,5.5
"26","NWT","c1",1952-10-26,13,NA,-1,NA,6
"27","NWT","c1",1952-10-27,12,NA,-3,NA,4.5
"28","NWT","c1",1952-10-28,13,NA,-4,NA,4.5
"29","NWT","c1",1952-10-29,12,NA,0,NA,6
"30","NWT","c1",1952-10-30,9,NA,4,NA,6.5
"31","NWT","c1",1952-10-31,11,NA,3,NA,7
"32","NWT","c1",1952-11-01,8,NA,-5,NA,1.5
"33","NWT","c1",1952-11-02,-3,NA,-8,NA,-5.5
"34","NWT","c1",1952-11-03,8,NA,-12,NA,-2
"35","NWT","c1",1952-11-04,9,NA,-2,NA,3.5
"36","NWT","c1",1952-11-05,11,NA,-5,NA,3
"37","NWT","c1",1952-11-06,7,NA,-11,NA,-2
"38","NWT","c1",1952-11-07,5,NA,-1,NA,2
"39","NWT","c1",1952-11-08,0,NA,-11,NA,-5.5
"40","NWT","c1",1952-11-09,-3,NA,-12,NA,-7.5
"41","NWT","c1",1952-11-10,4,NA,-5,NA,-0.5
"42","NWT","c1",1952-11-11,7,NA,1,NA,4
"43","NWT","c1",1952-11-12,6,NA,-1,NA,2.5
"44","NWT","c1",1952-11-13,1,NA,-4,NA,-1.5
"45","NWT","c1",1952-11-14,8,NA,-3,NA,2.5
"46","NWT","c1",1952-11-15,0,NA,-7,NA,-3.5
"47","NWT","c1",1952-11-16,-2,NA,-12,NA,-7
"48","NWT","c1",1952-11-17,-6,NA,-9,NA,-7.5
"49","NWT","c1",1952-11-18,-2,NA,-8,NA,-5
"50","NWT","c1",1952-11-19,-1,NA,-9,NA,-5
"51","NWT","c1",1952-11-20,5,NA,-4,NA,0.5
"52","NWT","c1",1952-11-21,-3,NA,-15,NA,-9
"53","NWT","c1",1952-11-22,-11,NA,-22,NA,-16.5
"54","NWT","c1",1952-11-23,-5,NA,-22,NA,-13.5
"55","NWT","c1",1952-11-24,-11,NA,-17,NA,-14
"56","NWT","c1",1952-11-25,-12,NA,-20,NA,-16
"57","NWT","c1",1952-11-26,-17,NA,-22,NA,-19.5
"58","NWT","c1",1952-11-27,-8,NA,-23,NA,-15.5
"59","NWT","c1",1952-11-28,-9,NA,-21,NA,-15
"60","NWT","c1",1952-11-29,-2,NA,-12,NA,-7
"61","NWT","c1",1952-11-30,0,NA,-14,NA,-7
"62","NWT","c1",1952-12-01,0,NA,-10,NA,-5
"63","NWT","c1",1952-12-02,1,NA,-10,NA,-4.5
"64","NWT","c1",1952-12-03,-9,NA,-11,NA,-10
"65","NWT","c1",1952-12-04,-2,NA,-12,NA,-7
"66","NWT","c1",1952-12-05,2,NA,-3,NA,-0.5
"67","NWT","c1",1952-12-06,1,NA,-7,NA,-3
"68","NWT","c1",1952-12-07,-1,NA,-7,NA,-4
"69","NWT","c1",1952-12-08,-6,NA,-11,NA,-8.5
"70","NWT","c1",1952-12-09,-11,NA,-14,NA,-12.5
"71","NWT","c1",1952-12-10,-3,NA,-15,NA,-9
"72","NWT","c1",1952-12-11,-3,NA,-6,NA,-4.5
"73","NWT","c1",1952-12-12,-3,NA,-5,NA,-4
"74","NWT","c1",1952-12-13,0,NA,-5,NA,-2.5
"75","NWT","c1",1952-12-14,4,NA,-2,NA,1
"76","NWT","c1",1952-12-15,9,NA,-1,NA,4
"77","NWT","c1",1952-12-16,6,NA,-7,NA,-0.5
"78","NWT","c1",1952-12-17,0,NA,-8,NA,-4
"79","NWT","c1",1952-12-18,-1,NA,-9,NA,-5
"80","NWT","c1",1952-12-19,-2,NA,-10,NA,-6
"81","NWT","c1",1952-12-20,2,NA,-6,NA,-2
"82","NWT","c1",1952-12-21,-2,NA,-8,NA,-5
"83","NWT","c1",1952-12-22,-6,NA,-13,NA,-9.5
"84","NWT","c1",1952-12-23,-10,NA,-17,NA,-13.5
"85","NWT","c1",1952-12-24,-10,NA,-26,NA,-18
"86","NWT","c1",1952-12-25,-9,NA,-16,NA,-12.5
"87","NWT","c1",1952-12-26,-8,NA,-13,NA,-10.5
