"","LTER_site","local_site","date","airtemp_max","flag_airtemp_max","airtemp_min","flag_airtemp_min","airtemp_avg"
"1","NWT","sdl",1981-07-09,11,NA,6,NA,8.5
"2","NWT","sdl",1981-07-10,13,NA,5,NA,9
"3","NWT","sdl",1981-07-11,15,NA,6,NA,10.5
"4","NWT","sdl",1981-07-12,13,NA,5,NA,9
"5","NWT","sdl",1981-07-13,10,NA,5,NA,7.5
"6","NWT","sdl",1981-07-14,12.8,"2",2.3,"2",7.6
"7","NWT","sdl",1981-07-15,14,NA,6,NA,10
"8","NWT","sdl",1981-07-16,12,NA,5,NA,8.5
"9","NWT","sdl",1981-07-17,12,NA,5,NA,8.5
"10","NWT","sdl",1981-07-18,12,NA,5,NA,8.5
"11","NWT","sdl",1981-07-19,14,NA,4,NA,9
"12","NWT","sdl",1981-07-20,15,NA,10,NA,12.5
"13","NWT","sdl",1981-07-21,16,NA,7,NA,11.5
"14","NWT","sdl",1981-07-22,15,NA,6,NA,10.5
"15","NWT","sdl",1981-07-23,17,"1",3.3,"2",10.2
"16","NWT","sdl",1981-07-24,11,"1",3.3,"2",7.2
"17","NWT","sdl",1981-07-25,12,"1",-2,"2",5
"18","NWT","sdl",1981-07-26,4.8,"2",-2.4,"2",1.2
"19","NWT","sdl",1981-07-27,10,NA,3,NA,6.5
"20","NWT","sdl",1981-07-28,10,NA,7,NA,8.5
"21","NWT","sdl",1981-07-29,15,NA,5,NA,10
"22","NWT","sdl",1981-07-30,17,NA,6,NA,11.5
"23","NWT","sdl",1981-07-31,17,NA,6,NA,11.5
"24","NWT","sdl",1981-08-01,13,NA,7,NA,10
"25","NWT","sdl",1981-08-02,17,NA,7,NA,12
"26","NWT","sdl",1981-08-03,15,NA,7,NA,11
"27","NWT","sdl",1981-08-04,17,NA,8,NA,12.5
"28","NWT","sdl",1981-08-05,15,NA,6,NA,10.5
"29","NWT","sdl",1981-08-06,14,NA,1,NA,7.5
"30","NWT","sdl",1981-08-07,7,NA,0,NA,3.5
"31","NWT","sdl",1981-08-08,11,NA,-2,NA,4.5
"32","NWT","sdl",1981-08-09,7,"1",2,"1",4.5
"33","NWT","sdl",1981-08-10,5,NA,0,NA,2.5
"34","NWT","sdl",1981-08-11,6,NA,-1,NA,2.5
"35","NWT","sdl",1981-08-12,6,NA,2,NA,4
"36","NWT","sdl",1981-08-13,10,NA,2,NA,6
"37","NWT","sdl",1981-08-14,12,NA,3,NA,7.5
"38","NWT","sdl",1981-08-15,10,NA,2,NA,6
"39","NWT","sdl",1981-08-16,10,"1",3,"1",6.5
"40","NWT","sdl",1981-08-17,9,NA,2,NA,5.5
"41","NWT","sdl",1981-08-18,12,NA,2,NA,7
"42","NWT","sdl",1981-08-19,12,NA,3,NA,7.5
"43","NWT","sdl",1981-08-20,14,NA,5,NA,9.5
"44","NWT","sdl",1981-08-21,15,NA,3,NA,9
"45","NWT","sdl",1981-08-22,10,NA,1,NA,5.5
"46","NWT","sdl",1981-08-23,12,NA,2,NA,7
"47","NWT","sdl",1981-08-24,12,NA,5,NA,8.5
"48","NWT","sdl",1981-08-25,14,NA,5,NA,9.5
"49","NWT","sdl",1981-08-26,13,NA,3,NA,8
"50","NWT","sdl",1981-08-27,10,NA,1,NA,5.5
"51","NWT","sdl",1981-08-28,13,NA,2,NA,7.5
"52","NWT","sdl",1981-08-29,14,NA,4,NA,9
"53","NWT","sdl",1981-08-30,15,NA,3,NA,9
"54","NWT","sdl",1981-08-31,10,NA,-1,NA,4.5
"55","NWT","sdl",1981-09-01,10,NA,1,NA,5.5
"56","NWT","sdl",1981-09-02,12,NA,0,NA,6
"57","NWT","sdl",1981-09-03,8,NA,0,NA,4
"58","NWT","sdl",1981-09-04,13,NA,2,NA,7.5
"59","NWT","sdl",1981-09-05,11,NA,3,NA,7
"60","NWT","sdl",1981-09-06,8,NA,1,NA,4.5
"61","NWT","sdl",1981-09-07,3,NA,-1,NA,1
"62","NWT","sdl",1981-09-08,11,NA,-1,NA,5
"63","NWT","sdl",1981-09-09,9,NA,2,NA,5.5
"64","NWT","sdl",1981-09-10,8,NA,1,NA,4.5
"65","NWT","sdl",1981-09-11,8,NA,-1,NA,3.5
"66","NWT","sdl",1981-09-12,11,NA,1,NA,6
"67","NWT","sdl",1981-09-13,12,NA,2,NA,7
"68","NWT","sdl",1981-09-14,10,NA,0,NA,5
"69","NWT","sdl",1981-09-15,9,NA,-2,NA,3.5
"70","NWT","sdl",1981-09-16,6,NA,-2,NA,2
"71","NWT","sdl",1981-09-17,9,NA,-2,NA,3.5
"72","NWT","sdl",1981-09-18,14,NA,-2,NA,6
"73","NWT","sdl",1981-09-19,11,NA,2,NA,6.5
"74","NWT","sdl",1981-09-20,11,NA,1,NA,6
"75","NWT","sdl",1981-09-21,10,NA,-1,NA,4.5
"76","NWT","sdl",1981-09-22,12,NA,3,NA,7.5
"77","NWT","sdl",1981-09-23,11,NA,1,NA,6
"78","NWT","sdl",1981-09-24,10,NA,0,NA,5
"79","NWT","sdl",1981-09-25,9,NA,-2,NA,3.5
"80","NWT","sdl",1981-09-26,6,NA,-4,NA,1
"81","NWT","sdl",1981-09-27,11,NA,0,NA,5.5
"82","NWT","sdl",1981-09-28,13,NA,4,NA,8.5
"83","NWT","sdl",1981-09-29,11,NA,2,NA,6.5
"84","NWT","sdl",1981-09-30,7,NA,-4,NA,1.5
"85","NWT","sdl",1981-10-01,9,NA,-4,NA,2.5
"86","NWT","sdl",1981-10-02,8,NA,-1,NA,3.5
"87","NWT","sdl",1981-10-03,1,NA,-4,NA,-1.5
"88","NWT","sdl",1981-10-04,1,NA,-4,NA,-1.5
"89","NWT","sdl",1981-10-05,0,NA,-5,NA,-2.5
"90","NWT","sdl",1981-10-06,2,NA,-4,NA,-1
"91","NWT","sdl",1981-10-07,6,NA,0,NA,3
