"","plotID","trapID","x","y"
"1","NIWO_004","W",450374.244065755,4432698.22825774
"2","NIWO_008","W",451544.804888755,4433957.9202966
"3","NIWO_002","W",453312.467749811,4432457.83255914
"4","NIWO_010","E",451494.1782317,4432040.33363361
"5","NIWO_005","E",451405.180624777,4432758.82760725
"6","NIWO_003","E",451824.169514933,4433598.06767475
"7","NIWO_004","E",450414.255141616,4432698.29998404
"8","NIWO_002","E",453352.47914188,4432457.80877866
"9","NIWO_007","E",452060.790208617,4432097.34166993
"10","NIWO_009","E",452214.764876997,4432907.64395122
"11","NIWO_010","W",451454.164499886,4432040.36718065
"12","NIWO_005","W",451365.170669604,4432758.86165711
"13","NIWO_009","W",452174.755767646,4432907.67374427
"14","NIWO_001","E",452335.378086301,4432606.64105913
"15","NIWO_006","E",452124.517069126,4434018.5103727
"16","NIWO_008","E",451584.808514857,4433957.88713598
"17","NIWO_004","N",450394.252462821,4432718.29899422
"18","NIWO_003","N",451804.165604166,4433618.06298786
"19","NIWO_002","N",453332.468202439,4432477.7999692
"20","NIWO_010","N",451474.170984619,4432060.32973831
"21","NIWO_006","N",452104.513511152,4434038.50491058
"22","NIWO_007","N",452040.781646949,4432117.33627246
"23","NIWO_008","N",451564.80619288,4433977.88310486
"24","NIWO_009","N",452194.758096179,4432927.6381888
"25","NIWO_005","N",451385.175541516,4432778.82398778
"26","NIWO_001","N",452315.370183152,4432626.63495987
"27","NIWO_004","S",450394.246746742,4432678.2291955
"28","NIWO_010","S",451474.171748848,4432020.3710239
"29","NIWO_007","S",452040.784683446,4432077.26658948
"30","NIWO_009","S",452194.762550339,4432887.67945464
"31","NIWO_002","S",453332.478691109,4432437.84131655
"32","NIWO_003","S",451804.167924613,4433578.10419234
"33","NIWO_006","S",452104.517363581,4433998.54610315
"34","NIWO_005","S",451385.175754747,4432738.86522452
"35","NIWO_008","S",451564.807212607,4433937.92427565
"36","NIWO_001","S",452315.375306012,4432586.67625011
"37","NIWO_003","W",451784.164011966,4433598.09955752
"38","NIWO_006","W",452084.513803735,4434018.5406931
"39","NIWO_001","W",452295.367400997,4432606.67020291
"40","NIWO_007","W",452020.776119608,4432097.26124405
"41","NIWO_013","W",450254.347399407,4434529.01942968
"42","NIWO_013","E",450294.348117277,4434528.9794434
"43","NIWO_013","S",450274.344840788,4434509.01994747
"44","NIWO_013","N",450274.350677795,4434548.97887355
