"","individualID","siteID","plotID","trapID","collectDate","taxonRank","morphospeciesID","para_sciname","col_year","col_month","col_day","dayofyear","expert_sciname","taxonID","sex","sampleID","trappingDays","decimalLatitude","decimalLongitude","elevation","nlcdClass","soilOrder","col_index"
"1","NEON.BET.D13.000050","NIWO","NIWO_005","N",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_005.N.20150714",NA,40.043662,-105.569891,3285.4,"evergreenForest","Inceptisols",1
"2","NEON.BET.D13.000195","NIWO","NIWO_003","N",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","F","NIWO_003.N.20150714",NA,40.051247,-105.565041,3494.9,"grasslandHerbaceous","Entisols",1
"3","NEON.BET.D13.000198","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","F","NIWO_006.E.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"4","NEON.BET.D13.000051","NIWO","NIWO_005","N",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_005.N.20150714",NA,40.043662,-105.569891,3285.4,"evergreenForest","Inceptisols",1
"5","NEON.BET.D13.000087","NIWO","NIWO_009","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_009.S.20150714",NA,40.045049,-105.560411,3274.2,"evergreenForest","Inceptisols",1
"6","NEON.BET.D13.000194","NIWO","NIWO_008","W",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","M","NIWO_008.W.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"7","NEON.BET.D13.000197","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","M","NIWO_006.N.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"8","NEON.BET.D13.000068","NIWO","NIWO_006","S",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.S.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"9","NEON.BET.D13.000067","NIWO","NIWO_006","S",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.S.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"10","NEON.BET.D13.000079","NIWO","NIWO_002","E",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_002.E.20150714",NA,40.04106,-105.547043,3059.6,"evergreenForest","Inceptisols",1
"11","NEON.BET.D13.000078","NIWO","NIWO_002","E",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_002.E.20150714",NA,40.04106,-105.547043,3059.6,"evergreenForest","Inceptisols",1
"12","NEON.BET.D13.000280","NIWO","NIWO_008","W",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","M","NIWO_008.W.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"13","NEON.BET.D13.000193","NIWO","NIWO_008","S",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","M","NIWO_008.S.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"14","NEON.BET.D13.000081","NIWO","NIWO_001","E",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_001.E.20150714",NA,40.042344,-105.558975,3213.5,"evergreenForest","Inceptisols",1
"15","NEON.BET.D13.000187","NIWO","NIWO_004","W",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","F","NIWO_004.W.20150714",NA,40.043059,-105.581501,3312.5,"evergreenForest","Inceptisols",1
"16","NEON.BET.D13.000080","NIWO","NIWO_001","E",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_001.E.20150714",NA,40.042344,-105.558975,3213.5,"evergreenForest","Inceptisols",1
"17","NEON.BET.D13.000224","NIWO","NIWO_007","N",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_007.N.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"18","NEON.BET.D13.000196","NIWO","NIWO_006","S",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","F","NIWO_006.S.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"19","NEON.BET.D13.000364","NIWO","NIWO_003","E",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_003.E.20150714",NA,40.051247,-105.565041,3494.9,"grasslandHerbaceous","Entisols",1
"20","NEON.BET.D13.000279","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_008.E.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"21","NEON.BET.D13.000227","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","M","NIWO_005.W.20150714",NA,40.043662,-105.569891,3285.4,"evergreenForest","Inceptisols",1
"22","NEON.BET.D13.000225","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_005.W.20150714",NA,40.043662,-105.569891,3285.4,"evergreenForest","Inceptisols",1
"23","NEON.BET.D13.000226","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_005.W.20150714",NA,40.043662,-105.569891,3285.4,"evergreenForest","Inceptisols",1
"24","NEON.BET.D13.000047","NIWO","NIWO_002","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_002.S.20150714",NA,40.04106,-105.547043,3059.6,"evergreenForest","Inceptisols",1
"25","NEON.BET.D13.000278","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_008.E.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"26","NEON.BET.D13.000189","NIWO","NIWO_003","E",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","F","NIWO_003.E.20150714",NA,40.051247,-105.565041,3494.9,"grasslandHerbaceous","Entisols",1
"27","NEON.BET.D13.000363","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_008.N.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"28","NEON.BET.D13.000084","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_005.W.20150714",NA,40.043662,-105.569891,3285.4,"evergreenForest","Inceptisols",1
"29","NEON.BET.D13.000091","NIWO","NIWO_010","E",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_010.E.20150714",NA,40.037194,-105.568794,3188.7,"evergreenForest","Inceptisols",1
"30","NEON.BET.D13.000362","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","M","NIWO_008.N.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"31","NEON.BET.D13.000188","NIWO","NIWO_003","E",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","M","NIWO_003.E.20150714",NA,40.051247,-105.565041,3494.9,"grasslandHerbaceous","Entisols",1
"32","NEON.BET.D13.000085","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_005.W.20150714",NA,40.043662,-105.569891,3285.4,"evergreenForest","Inceptisols",1
"33","NEON.BET.D13.000361","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","M","NIWO_008.N.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"34","NEON.BET.D13.000190","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","F","NIWO_008.N.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"35","NEON.BET.D13.000090","NIWO","NIWO_010","E",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_010.E.20150714",NA,40.037194,-105.568794,3188.7,"evergreenForest","Inceptisols",1
"36","NEON.BET.D13.000086","NIWO","NIWO_009","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_009.S.20150714",NA,40.045049,-105.560411,3274.2,"evergreenForest","Inceptisols",1
"37","NEON.BET.D13.000192","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","F","NIWO_008.E.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"38","NEON.BET.D13.000065","NIWO","NIWO_007","W",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_007.W.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"39","NEON.BET.D13.000042","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.E.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"40","NEON.BET.D13.000041","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.E.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"41","NEON.BET.D13.000077","NIWO","NIWO_009","N",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_009.N.20150714",NA,40.045049,-105.560411,3274.2,"evergreenForest","Inceptisols",1
"42","NEON.BET.D13.000223","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_004.E.20150714",NA,40.043059,-105.581501,3312.5,"evergreenForest","Inceptisols",1
"43","NEON.BET.D13.000220","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_004.E.20150714",NA,40.043059,-105.581501,3312.5,"evergreenForest","Inceptisols",1
"44","NEON.BET.D13.000219","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_004.E.20150714",NA,40.043059,-105.581501,3312.5,"evergreenForest","Inceptisols",1
"45","NEON.BET.D13.000059","NIWO","NIWO_005","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_005.S.20150714",NA,40.043662,-105.569891,3285.4,"evergreenForest","Inceptisols",1
"46","NEON.BET.D13.000062","NIWO","NIWO_007","E",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_007.E.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"47","NEON.BET.D13.000045","NIWO","NIWO_002","N",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_002.N.20150714",NA,40.04106,-105.547043,3059.6,"evergreenForest","Inceptisols",1
"48","NEON.BET.D13.000221","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_004.E.20150714",NA,40.043059,-105.581501,3312.5,"evergreenForest","Inceptisols",1
"49","NEON.BET.D13.000043","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_007.S.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"50","NEON.BET.D13.000046","NIWO","NIWO_002","N",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_002.N.20150714",NA,40.04106,-105.547043,3059.6,"evergreenForest","Inceptisols",1
"51","NEON.BET.D13.000200","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","M","NIWO_007.S.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"52","NEON.BET.D13.000088","NIWO","NIWO_010","W",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_010.W.20150714",NA,40.037194,-105.568794,3188.7,"evergreenForest","Inceptisols",1
"53","NEON.BET.D13.000063","NIWO","NIWO_007","E",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_007.E.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"54","NEON.BET.D13.000089","NIWO","NIWO_010","W",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_010.W.20150714",NA,40.037194,-105.568794,3188.7,"evergreenForest","Inceptisols",1
"55","NEON.BET.D13.000222","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_004.E.20150714",NA,40.043059,-105.581501,3312.5,"evergreenForest","Inceptisols",1
"56","NEON.BET.D13.000218","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_004.E.20150714",NA,40.043059,-105.581501,3312.5,"evergreenForest","Inceptisols",1
"57","NEON.BET.D13.000044","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_007.S.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"58","NEON.BET.D13.000076","NIWO","NIWO_006","W",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.W.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"59","NEON.BET.D13.000070","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.N.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"60","NEON.BET.D13.000074","NIWO","NIWO_006","W",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","M","NIWO_006.W.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"61","NEON.BET.D13.000075","NIWO","NIWO_006","W",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.W.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"62","NEON.BET.D13.000048","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_007.S.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"63","NEON.BET.D13.000049","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_007.S.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"64","NEON.BET.D13.000071","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","M","NIWO_006.N.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"65","NEON.BET.D13.000069","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.N.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"66","NEON.BET.D13.000072","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_006.N.20150714",NA,40.055052,-105.561552,3469.2,"grasslandHerbaceous","Entisols",1
"67","NEON.BET.D13.000054","NIWO","NIWO_001","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","M","NIWO_001.S.20150714",NA,40.042344,-105.558975,3213.5,"evergreenForest","Inceptisols",1
"68","NEON.BET.D13.000083","NIWO","NIWO_007","N",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_007.N.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"69","NEON.BET.D13.000191","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2","F","NIWO_008.N.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"70","NEON.BET.D13.000082","NIWO","NIWO_007","N",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_007.N.20150714",NA,40.037739,-105.562156,3171.3,"evergreenForest","Inceptisols",1
"71","NEON.BET.D13.000053","NIWO","NIWO_001","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_001.S.20150714",NA,40.042344,-105.558975,3213.5,"evergreenForest","Inceptisols",1
"72","NEON.BET.D13.000276","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","F","NIWO_008.E.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"73","NEON.BET.D13.000277","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Amara alpina",2015,7,14,194,"Amara alpina","AMAALP","M","NIWO_008.E.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"74","NEON.BET.D13.000217","NIWO","NIWO_008","S",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_008.S.20150714",NA,40.054475,-105.567875,3500.2,"grasslandHerbaceous","Entisols",1
"75","NEON.BET.D13.000092","NIWO","NIWO_010","S",2015-07-14,"species",NA,"Calathus advena",2015,7,14,194,"Calathus advena","CALADV","F","NIWO_010.S.20150714",NA,40.037194,-105.568794,3188.7,"evergreenForest","Inceptisols",1
"76","NEON.BET.D13.000228","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1","F","NIWO_004.E.20150714",NA,40.043059,-105.581501,3312.5,"evergreenForest","Inceptisols",1
