"api.decimalLatitude","api.decimalLongitude","data_type"
"40.043059","-105.581501","carabid"
"40.054475","-105.567875","carabid"
"40.04106","-105.547043","carabid"
"40.037194","-105.568794","carabid"
"40.043662","-105.569891","carabid"
"40.051247","-105.565041","carabid"
"40.037739","-105.562156","carabid"
"40.045049","-105.560411","carabid"
"40.042344","-105.558975","carabid"
"40.055052","-105.561552","carabid"
"40.059545","-105.583048","carabid"
"40.05114","-105.585787","litter"
"40.048439","-105.585417","litter"
"40.04979","-105.585046","litter"
"40.047082","-105.585059","litter"
"40.050349","-105.582965","litter"
"40.048158","-105.586127","litter"
"40.04898","-105.585058","litter"
"40.04737","-105.583997","litter"
"40.054657","-105.584399","litter"
"40.047615","-105.586103","litter"
"40.048719","-105.587181","litter"
"40.046551","-105.584709","litter"
"40.054365","-105.585822","woody_veg"
"40.055185","-105.585116","woody_veg"
"40.052491","-105.585443","woody_veg"
"40.053301","-105.586507","woody_veg"
"40.05032","-105.586479","woody_veg"
"40.053571","-105.584402","woody_veg"
"40.050589","-105.587175","woody_veg"
"40.051404","-105.587551","woody_veg"
"40.053574","-105.585102","woody_veg"
"40.05114","-105.585787","woody_veg"
"40.050042","-105.58751","woody_veg"
"40.050874","-105.585072","woody_veg"
"40.04979","-105.585046","woody_veg"
"40.050338","-105.584011","woody_veg"
"40.05465","-105.586515","woody_veg"
"40.051697","-105.582976","woody_veg"
"40.054657","-105.584399","woody_veg"
"40.047082","-105.585059","woody_veg"
"40.046551","-105.584709","woody_veg"
"40.051697","-105.583681","woody_veg"
"40.048719","-105.587181","woody_veg"
"40.04845","-105.584355","woody_veg"
"40.047615","-105.586103","woody_veg"
"40.04737","-105.583997","woody_veg"
"40.048439","-105.585417","woody_veg"
"40.0468","-105.586451","woody_veg"
"40.048158","-105.586127","woody_veg"
"40.04898","-105.585058","woody_veg"
"40.050349","-105.582965","woody_veg"
"40.048717","-105.583295","woody_veg"
"40.04106","-105.547043","woody_veg"
"40.056627","-105.569307","woody_veg"
"40.059545","-105.583048","woody_veg"
"40.055052","-105.561552","woody_veg"
"40.057098","-105.58477","woody_veg"
"40.051247","-105.565041","woody_veg"
"40.052498","-105.584022","woody_veg"
"40.037739","-105.562156","woody_veg"
"40.043059","-105.581501","woody_veg"
"40.048377","-105.542505","woody_veg"
"40.050779","-105.548151","woody_veg"
"40.041511","-105.567423","woody_veg"
"40.04011","-105.57266","woody_veg"
"40.054475","-105.567875","woody_veg"
"40.037194","-105.568794","woody_veg"
"40.034769","-105.559629","woody_veg"
"40.033987","-105.555402","woody_veg"
"40.043662","-105.569891","woody_veg"
"40.042344","-105.558975","woody_veg"
"40.045049","-105.560411","woody_veg"
"40.054365","-105.585822","soil_water"
"40.055185","-105.585116","soil_water"
"40.052491","-105.585443","soil_water"
"40.053301","-105.586507","soil_water"
"40.05032","-105.586479","soil_water"
"40.053571","-105.584402","soil_water"
"40.050589","-105.587175","soil_water"
"40.051404","-105.587551","soil_water"
"40.053574","-105.585102","soil_water"
"40.05114","-105.585787","soil_water"
"40.050042","-105.58751","soil_water"
"40.050874","-105.585072","soil_water"
"40.04979","-105.585046","soil_water"
"40.050338","-105.584011","soil_water"
"40.05465","-105.586515","soil_water"
"40.051697","-105.582976","soil_water"
"40.054657","-105.584399","soil_water"
"40.047082","-105.585059","soil_water"
"40.046551","-105.584709","soil_water"
"40.051697","-105.583681","soil_water"
"40.048719","-105.587181","soil_water"
"40.04845","-105.584355","soil_water"
"40.047615","-105.586103","soil_water"
"40.04737","-105.583997","soil_water"
"40.048439","-105.585417","soil_water"
"40.0468","-105.586451","soil_water"
"40.048158","-105.586127","soil_water"
"40.04898","-105.585058","soil_water"
"40.050349","-105.582965","soil_water"
"40.048717","-105.583295","soil_water"
"40.04106","-105.547043","soil_water"
"40.056627","-105.569307","soil_water"
"40.059545","-105.583048","soil_water"
"40.055052","-105.561552","soil_water"
"40.057098","-105.58477","soil_water"
"40.051247","-105.565041","soil_water"
"40.052498","-105.584022","soil_water"
"40.037739","-105.562156","soil_water"
"40.043059","-105.581501","soil_water"
"40.048377","-105.542505","soil_water"
"40.050779","-105.548151","soil_water"
"40.041511","-105.567423","soil_water"
"40.04011","-105.57266","soil_water"
"40.054475","-105.567875","soil_water"
"40.037194","-105.568794","soil_water"
"40.034769","-105.559629","soil_water"
"40.033987","-105.555402","soil_water"
"40.043662","-105.569891","soil_water"
"40.042344","-105.558975","soil_water"
"40.045049","-105.560411","soil_water"
"40.035","-105.531","forest_niwot"
"40.013","-105.56","forest_niwot"
"40.013","-105.56","forest_niwot"
"40.039","-105.562","forest_niwot"
"40.043","-105.577","forest_niwot"
"40.07456","-105.58167","forest_niwot"
"40.042","-105.569","forest_niwot"
"40.03743","-105.54543","forest_niwot"
"40.04188","-105.5489","forest_niwot"
"40.04137","-105.54902","forest_niwot"
"40.04655","-105.582942","forest_niwot"
"40.048795","-105.57805","forest_niwot"
"40.0463","-105.57134","forest_niwot"
"40.036","-105.531","forest_niwot"
"40.036","-105.531","forest_niwot"
"40.036","-105.531","forest_niwot"
"40.036","-105.531","forest_niwot"
"40.036","-105.531","forest_niwot"
"40.03882","-105.56285","forest_niwot"
"40.03882","-105.56285","forest_niwot"
"40.03887","-105.56301","forest_niwot"
"40.03887","-105.56316","forest_niwot"
"40.03878","-105.56316","forest_niwot"
"40.03872","-105.56332","forest_niwot"
"40.03879","-105.56368","forest_niwot"
"40.0387","-105.5639","forest_niwot"
"40.03901","-105.56418","forest_niwot"
"40.03913","-105.56432","forest_niwot"
"40.03972","-105.56503","forest_niwot"
"40.03946","-105.56467","forest_niwot"
"40.03971","-105.56504","forest_niwot"
"40.0397","-105.56544","forest_niwot"
"40.03981","-105.56558","forest_niwot"
"40.07561","-105.58154","forest_niwot"
"40.07556","-105.58163","forest_niwot"
"40.07527","-105.58205","forest_niwot"
"40.075","-105.582","forest_niwot"
"40.07478","-105.58224","forest_niwot"
"40.07465","-105.58222","forest_niwot"
"40.0746","-105.58223","forest_niwot"
"40.07437","-105.58213","forest_niwot"
"40.07434","-105.58226","forest_niwot"
"40.07422","-105.58259","forest_niwot"
"40.054269","-105.58238","ir_temp"
"40.054269","-105.58238","ir_temp"
"40.053445","-105.583015","ir_temp"
"40.054169","-105.582539","soil_temp"
"40.054169","-105.582539","soil_temp"
"40.054169","-105.582539","soil_temp"
"40.054169","-105.582539","soil_temp"
"40.054169","-105.582539","soil_temp"
"40.054169","-105.582539","soil_temp"
"40.054169","-105.582539","soil_temp"
