"","individualID","siteID","plotID","trapID","collectDate","taxonRank","morphospeciesID","para_sciname","para_morph","col_year","col_month","col_day","dayofyear","expert_sciname","taxonID","col_index"
"1","NEON.BET.D13.000065","NIWO","NIWO_007","W",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"2","NEON.BET.D13.000050","NIWO","NIWO_005","N",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"3","NEON.BET.D13.000195","NIWO","NIWO_003","N",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"4","NEON.BET.D13.000198","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"5","NEON.BET.D13.000051","NIWO","NIWO_005","N",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"6","NEON.BET.D13.000389","NIWO","NIWO_006","S",2015-07-14,"species",NA,"Cymindis cribricollis","Cymindis cribricollis",2015,7,14,194,"Cymindis cribricollis","CYMCRI",1
"7","NEON.BET.D13.000087","NIWO","NIWO_009","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"8","NEON.BET.D13.000408","NIWO","NIWO_004","N",2015-07-14,"species",NA,"Harpalus paratus","Harpalus paratus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"9","NEON.BET.D13.000406","NIWO","NIWO_004","N",2015-07-14,"species",NA,"Harpalus paratus","Harpalus paratus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"10","NEON.BET.D13.000001","NIWO","NIWO_002","W",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"11","NEON.BET.D13.000194","NIWO","NIWO_008","W",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"12","NEON.BET.D13.000407","NIWO","NIWO_004","N",2015-07-14,"species",NA,"Harpalus paratus","Harpalus paratus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"13","NEON.BET.D13.000197","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"14","NEON.BET.D13.000430","NIWO","NIWO_004","S",2015-07-14,"genus","D13.2015.MorphE","Harpalus sp.","Harpalus sp./D13.2015.MorphE",2015,7,14,194,"Harpalus animosus","HARANI",1
"15","NEON.BET.D13.000013","NIWO","NIWO_001","W",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"16","NEON.BET.D13.000068","NIWO","NIWO_006","S",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"17","NEON.BET.D13.000067","NIWO","NIWO_006","S",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"18","NEON.BET.D13.000055","NIWO","NIWO_001","S",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"19","NEON.BET.D13.000432","NIWO","NIWO_003","N",2015-07-14,"subgenus","D13.2015.MorphF","Amara (Celia) sp.","Amara (Celia) sp./D13.2015.MorphF",2015,7,14,194,"Amara quenseli","AMAQUE",1
"20","NEON.BET.D13.000431","NIWO","NIWO_003","N",2015-07-14,"subgenus","D13.2015.MorphF","Amara (Celia) sp.","Amara (Celia) sp./D13.2015.MorphF",2015,7,14,194,"Amara quenseli","AMAQUE",1
"21","NEON.BET.D13.000014","NIWO","NIWO_001","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"22","NEON.BET.D13.000079","NIWO","NIWO_002","E",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"23","NEON.BET.D13.000078","NIWO","NIWO_002","E",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"24","NEON.BET.D13.000280","NIWO","NIWO_008","W",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"25","NEON.BET.D13.000371","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Agonoleptus conjunctus","Agonoleptus conjunctus",2015,7,14,194,"Agonoleptus conjunctus","AGOCON",1
"26","NEON.BET.D13.000265","NIWO","NIWO_004","S",2015-07-14,"species",NA,"Cymindis borealis","Cymindis borealis",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"27","NEON.BET.D13.000372","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Agonoleptus conjunctus","Agonoleptus conjunctus",2015,7,14,194,"Agonoleptus conjunctus","AGOCON",1
"28","NEON.BET.D13.000193","NIWO","NIWO_008","S",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"29","NEON.BET.D13.000060","NIWO","NIWO_002","E",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"30","NEON.BET.D13.000081","NIWO","NIWO_001","E",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
